데이터직무별(1),2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022
데이터직무별(1),전 산업,전 산업,데이터산업,데이터산업,일반산업,일반산업,전 산업,전 산업,데이터산업,데이터산업,일반산업,일반산업,전 산업,전 산업,데이터산업,데이터산업,일반산업,일반산업,전 산업,전 산업,데이터산업,데이터산업,일반산업,일반산업,전 산업,전 산업,데이터산업,데이터산업,일반산업,일반산업,전 산업,전 산업,데이터산업,데이터산업,일반산업,일반산업,전 산업,전 산업,데이터산업,데이터산업,일반산업,일반산업
데이터직무별(1),인력수 (명),비중 (%),인력수 (명),비중 (%),인력수 (명),비중 (%),인력수 (명),비중 (%),인력수 (명),비중 (%),인력수 (명),비중 (%),인력수 (명),비중 (%),인력수 (명),비중 (%),인력수 (명),비중 (%),인력수 (명),비중 (%),인력수 (명),비중 (%),인력수 (명),비중 (%),인력수 (명),비중 (%),인력수 (명),비중 (%),인력수 (명),비중 (%),인력수 (명),비중 (%),인력수 (명),비중 (%),인력수 (명),비중 (%),인력수 (명),비중 (%),인력수 (명),비중 (%),인력수 (명),비중 (%)
전체,102375,100,73256,100,29119,100,109320,100,77105,100,32215,100,117727,100,82623,100,35104,100,130833,100,89058,100,41775,100,150177,100,101967,100,48210,100,180873,100,122431,100,58442,100,197802,100,134310,100,63492,100
데이터 아키텍트,9267,9.1,4736,6.5,4531,15.6,10071,9.2,5025,6.5,5046,15.7,11354,9.6,5901,7.1,5453,15.5,10360,7.9,6508,7.3,3852,9.2,11545,7.7,7470,7.3,4075,8.5,14530,8,9329,7.6,5202,8.9,15515,7.8,9711,7.2,5805,9.1
데이터 개발자,38948,38,27379,37.4,11569,39.7,41254,37.7,29267,38,11987,37.2,42327,36,30022,36.3,12305,35.1,37007,28.3,31330,35.2,5677,13.6,41976,28,34085,33.4,7891,16.4,51507,28.5,42128,34.4,9379,16,55509,28.1,44977,33.5,10532,16.6
데이터 엔지니어,15670,15.3,12664,17.3,3006,10.3,16634,15.2,13127,17,3507,10.9,17529,14.9,13731,16.6,3798,10.8,16165,12.4,14592,16.4,1574,3.8,19791,13.2,16450,16.1,3341,6.9,22869,12.6,18964,15.5,3906,6.7,26223,13.3,21923,16.3,4300,6.8
데이터 분석가,7339,7.2,4477,6.1,2862,9.8,8398,7.7,4792,6.2,3606,11.2,10170,8.6,5820,7,4350,12.4,12159,9.3,6571,7.4,5588,13.4,12737,8.5,7555,7.4,5182,10.7,16396,9.1,9461,7.7,6936,11.9,18410,9.3,10974,8.2,7435,11.7
데이터베이스 관리자,17116,16.7,11488,15.7,5628,19.3,17863,16.3,11851,15.4,6012,18.6,18882,16,12615,15.3,6267,17.9,34644,26.5,12928,14.5,21716,52,38440,25.6,15199,14.9,23241,48.2,44878,24.8,17706,14.5,27172,46.5,48954,24.7,19961,14.9,28992,45.7
데이터 과학자,1662,1.6,1185,1.6,477,1.6,1803,1.7,1283,1.7,520,1.6,1807,1.5,1285,1.6,522,1.5,1802,1.4,1608,1.8,194,0.5,3031,2,2421,2.4,610,1.3,3977,2.2,3027,2.5,950,1.6,4340,2.2,3297,2.5,1043,1.6
데이터 컨설턴트,4513,4.4,4028,5.5,485,1.7,5004,4.6,4263,5.5,741,2.3,6269,5.3,5007,6.1,1262,3.6,5958,4.6,5686,6.4,272,0.7,8113,5.4,6979,6.8,1133,2.4,10429,5.8,8979,7.3,1450,2.5,11466,5.8,9909,7.4,1556,2.5
데이터 기획자,7860,7.7,7299,10,561,1.9,8293,7.6,7497,9.7,796,2.5,9389,8,8242,10,1147,3.3,12738,9.7,9836,11,2902,6.9,14544,9.7,11808,11.6,2736,5.7,16287,9,12837,10.5,3450,5.9,17387,8.8,13558,10.1,3829,6
