데이터직무별(1),2016,2016,2016,2016,2016,2017,2017,2017,2017,2017
데이터직무별(1),전체,데이터 솔루션,데이터 구축,데이터 컨설팅,데이터 서비스,전체,데이터 솔루션,데이터 구축,데이터 컨설팅,데이터 서비스
전체,4690,1061,1725,757,1147,4865,1038,1802,789,1236
데이터 아키텍트,340,144,110,46,40,354,140,117,44,53
데이터 개발자,2502,487,1094,345,576,2564,492,1127,361,584
데이터 엔지니어,772,165,364,119,124,775,163,358,128,126
데이터 분석가,375,71,27,136,141,394,83,32,127,152
데이터베이스 관리자,129,12,30,14,73,145,15,41,19,70
데이터 과학자,180,98,40,29,13,158,68,50,29,11
데이터 컨설턴트,137,31,17,47,42,164,35,19,56,54
데이터 기획자,255,53,43,21,138,311,42,58,25,186
