데이터직무별(1),2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022
데이터직무별(1),전 산업,데이터산업,일반산업,전 산업,데이터산업,일반산업,전 산업,데이터산업,일반산업,전 산업,데이터산업,일반산업,전 산업,데이터산업,일반산업,전 산업,데이터산업,일반산업,전 산업,데이터산업,일반산업
평균,14.2,6,29.6,10.9,5.9,20.8,16.1,10.3,27.2,8.9,8.7,9.2,10.7,10.6,11,11.9,12.2,11.3,11.3,11.5,11
데이터 아키텍트,21.3,6.7,32.4,15.1,6.6,22.2,22.5,10.8,32.1,1.1,1.3,0.7,5.2,4.2,7.1,5.4,4.6,6.8,5,4.3,6.3
데이터 개발자,13.2,8.4,22.7,10.7,8.1,16.6,13.4,9,22.6,13.4,13.5,13,13.9,14.5,11,15.2,16,11.4,14,14.7,10.7
데이터 엔지니어,10.7,5.7,26.8,9.5,5.6,21.5,10.5,6.6,22.4,4.9,5.1,3.4,9.8,9,13.4,11.1,10.1,15.8,9.4,8.2,15.2
데이터 분석가,24,7.7,40.5,14,7.6,21.3,26.7,21.1,33.1,12.2,14.8,8.9,14.5,14.5,14.5,14.7,15.6,13.4,13.7,14.6,12.4
데이터베이스 관리자,11.5,1.1,27.2,8.1,1.2,19.2,15,7.4,27.2,6.4,1.4,9.1,7,3,9.4,7.7,4.5,9.8,8.1,4.9,10.2
데이터 과학자,25.1,13.2,44.1,21.6,11,39.4,24.1,19.8,33,32.2,34.2,9,30.3,31.4,25.7,33.3,36.5,20.8,31.5,34.5,20.1
데이터 컨설턴트,11.6,3.3,48.3,10.3,3.7,35.6,20,16,32.5,3.1,2.8,8.2,11.1,10.8,12.9,11.1,10.6,14.2,11.1,10.6,14.4
데이터 기획자,10.5,3.4,54.2,9.2,4,40.2,13.8,10.7,31.2,5.6,4,10.4,7.4,5.5,14.7,8.9,7.3,14.7,10.5,9.6,13.3
